都道府県,市町村,一般競争 ,総合評価落札方式,プロポーザル方式,低入札価格調査・最低制限価格制度,予定価格の公表,R1年度競争入札平均落札率
北海道 ,せたな町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,"原則非公表、一部案件
で事前公表",-
北海道 ,島牧村,導入していない ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.955
北海道 ,寿都町,試行導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,-
北海道 ,黒松内町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.94
北海道 ,蘭越町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.95
北海道 ,ニセコ町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.95
北海道 ,真狩村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,留寿都村,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,-
北海道 ,喜茂別町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,京極町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,倶知安町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件非公表 ,-
北海道 ,共和町,本格導入 ,2008年試行導入 ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,-
北海道 ,岩内町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.933
北海道 ,泊村,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
北海道 ,神恵内村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,積丹町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.958
北海道 ,古平町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
北海道 ,仁木町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,余市町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,原則非公表、一部案件,0.715
北海道 ,赤井川村,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.921
北海道 ,南幌町,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.935
北海道 ,奈井江町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",-
北海道 ,上砂川町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,由仁町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",-
北海道 ,長沼町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.916
北海道 ,栗山町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,月形町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,浦臼町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,"原則非公表、一部案件
で事後公表",-
北海道 ,新十津川町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.952
北海道 ,妹背牛町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.936
北海道 ,秩父別町,本格導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,-
北海道 ,雨竜町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.895
北海道 ,北竜町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.968
北海道 ,沼田町,試行導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.946
北海道 ,鷹栖町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,東神楽町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.945
北海道 ,当麻町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.928
北海道 ,比布町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,愛別町,本格導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,"原則事前公表、一部の
案件で事後公表を試行 ",0.922
北海道 ,上川町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.912
北海道 ,東川町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,美瑛町,試行導入 ,導入していない ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,"案件により事後公表及
び事前公表を併用 ",0.934
北海道 ,上富良野町,試行導入 ,2007年試行導入 ,試行導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,中富良野町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,南富良野町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.96
北海道 ,占冠村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,和寒町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,剣淵町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則非公表、一部案件
で事後公表",0.91
北海道 ,下川町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.954
北海道 ,美深町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,音威子府村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.926
北海道 ,中川町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.944
北海道 ,幌加内町,本格導入 ,導入していない ,試行導入 ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.948
北海道 ,増毛町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,小平町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,苫前町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.956
北海道 ,羽幌町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.939
北海道 ,初山別村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.862
北海道 ,遠別町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.866
北海道 ,天塩町,本格導入 ,2013年本格導入 ,導入していない,低入札価格調査制度及び最低制限価格制度を併用,"案件により事後公表及
び事前公表を併用",0.928
北海道 ,猿払村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
北海道 ,浜頓別町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.934
北海道 ,中頓別町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.934
北海道 ,枝幸町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.932
北海道 ,豊富町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
北海道 ,礼文町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.941
北海道 ,利尻町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,-
北海道 ,利尻富士町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.928
北海道 ,幌延町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則事前公表、一部の
案件で事後公表を試行",0.934
北海道 ,美幌町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.935
北海道 ,津別町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則非公表、一部案件
で事後公表",-
北海道 ,斜里町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,清里町,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.947
北海道 ,小清水町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.949
北海道 ,訓子府町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,-
北海道 ,置戸町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.871
北海道 ,佐呂間町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.95
北海道 ,遠軽町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.924
北海道 ,湧別町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.94
北海道 ,滝上町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.932
北海道 ,興部町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.926
北海道 ,西興部村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.952
北海道 ,雄武町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則非公表、一部案件
で事後公表",-
北海道 ,大空町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
北海道 ,豊浦町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.955
北海道 ,壮瞥町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",-
北海道 ,白老町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.929
北海道 ,厚真町,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.97
北海道 ,洞爺湖町,本格導入 ,2006年本格導入 ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.94
北海道 ,安平町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,-
北海道 ,むかわ町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.949
北海道 ,日高町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.942
北海道 ,平取町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.925
北海道 ,新冠町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,浦河町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.943
北海道 ,様似町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.906
北海道 ,えりも町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.931
北海道 ,新ひだか町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.884
北海道 ,音更町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.91
北海道 ,士幌町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.924
北海道 ,上士幌町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.934
北海道 ,鹿追町,本格導入 ,1996年試行導入 ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.925
北海道 ,新得町,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.937
北海道 ,清水町,試行導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.805
北海道 ,芽室町,本格導入 ,2018年本格導入 ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.969
北海道 ,中札内村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,更別村,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.937
北海道 ,大樹町,導入していない ,2020年試行導入 ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.978
北海道 ,広尾町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
北海道 ,幕別町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.952
北海道 ,池田町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.927
北海道 ,豊頃町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"原則非公表、一部案件
で事前公表",0.946
北海道 ,本別町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.709
北海道 ,足寄町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,"原則非公表、一部案件
で事前公表",0.931
北海道 ,陸別町,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,"原則事前公表、一部の
案件で事後公表を試行",0.928
北海道 ,浦幌町,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
北海道 ,釧路町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.931
北海道 ,厚岸町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.947
北海道 ,浜中町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.959
北海道 ,標茶町,本格導入 ,2015年本格導入 ,導入していない ,低入札価格調査制度及び最低制限価格制度を併用,"原則事前公表、一部の
案件で事後公表を試行 ",0.938
北海道 ,弟子屈町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,"原則非公表、一部案件
で事前公表",0.932
北海道 ,鶴居村,本格導入 ,導入していない ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事前公表 ,0.942
北海道 ,白糠町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.937
北海道 ,別海町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,"案件により事後公表及
び事前公表を併用",0.923
北海道 ,中標津町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事前公表 ,0.852
北海道 ,標津町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,0.933
北海道 ,羅臼町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,0.942
青森県 ,青森市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.827
青森県 ,弘前市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.914
青森県 ,八戸市,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.924
青森県 ,黒石市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,0.929
青森県 ,五所川原市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.927
青森県 ,十和田市,導入していない ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,0.951
青森県 ,三沢市,本格導入 ,2018年試行導入 ,試行導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件非公表 ,0.922
青森県 ,むつ市,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件非公表 ,-
青森県 ,つがる市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.916
青森県 ,平川市,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.909
青森県 ,平内町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.92
青森県 ,今別町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
青森県 ,蓬田村,試行導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
青森県 ,外ヶ浜町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.938
青森県 ,鰺ヶ沢町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.949
青森県 ,深浦町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.928
青森県 ,西目屋村,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,-
青森県 ,藤崎町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.924
青森県 ,大鰐町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.948
青森県 ,田舎館村,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.956
青森県 ,板柳町,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.903
青森県 ,鶴田町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.919
青森県 ,中泊町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事前公表 ,0.902
青森県 ,野辺地町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.942
青森県 ,七戸町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.918
青森県 ,六戸町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.831
青森県 ,横浜町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件非公表 ,0.982
青森県 ,東北町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,"案件により事後公表及
び事前公表を併用",0.941
青森県 ,六ヶ所村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.932
青森県 ,おいらせ町,導入していない ,導入していない ,試行導入 ,いずれの制度も導入していない ,全案件事前公表 ,-
青森県 ,大間町,本格導入 ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.944
青森県 ,東通村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,-
青森県 ,風間浦村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.945
青森県 ,佐井村,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.934
青森県 ,三戸町,本格導入 ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事後公表 ,0.936
青森県 ,五戸町,試行導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,"原則事前公表、一部の
案件で事後公表を試行",0.896
青森県 ,田子町,本格導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事前公表 ,0.93
青森県 ,南部町,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.931
青森県 ,階上町,本格導入 ,導入していない ,本格導入 ,いずれの制度も導入していない ,全案件事後公表 ,0.92
青森県 ,新郷村,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件事前公表 ,0.935
岩手県 ,盛岡市,本格導入 ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.814
岩手県 ,宮古市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.654
岩手県 ,大船渡市,導入していない ,導入していない ,導入していない ,いずれの制度も導入していない ,全案件非公表 ,-
岩手県 ,花巻市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.916
岩手県 ,北上市,導入していない ,導入していない ,本格導入 ,低入札価格調査制度及び最低制限価格制度を併用,全案件事後公表 ,0.721
岩手県 ,久慈市,導入していない ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.802
岩手県 ,遠野市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,-
岩手県 ,一関市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.804
岩手県 ,陸前高田市,試行導入 ,導入していない ,試行導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.891
岩手県 ,釜石市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.893
岩手県 ,二戸市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.831
岩手県 ,八幡平市,導入していない ,導入していない ,本格導入 ,最低制限価格制度のみ導入,全案件事後公表 ,0.883
岩手県 ,奥州市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.8
岩手県 ,滝沢市,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.705
岩手県 ,雫石町,導入していない ,導入していない ,導入していない ,最低制限価格制度のみ導入,全案件事後公表 ,0.837
